checkpoint,params_M,Ribozyme,tRNA,Aptamer,macro_3ncRNA
AIDO.RNA-1M-MARS,1,0.0013833725774681,0.1777039407912451,0.0625990558827026,0.0805621230838053
AIDO.RNA-25M-MARS,25,-0.0298765175467791,0.456947919154572,0.0347915567069773,0.1539543194382567
AIDO.RNA-300M-MARS,299,-0.0255811990086168,0.4550919102078445,0.0371789292494538,0.1555632134828938
AIDO.RNA-650M,646,0.0660332868987325,0.4893565654410639,0.0934325517551516,0.216274134698316
AIDO.RNA-1.6B,1606,0.0608547145460644,0.4883787106096389,0.0718036455462622,0.2070123569006552
